grp,threshold_mm,lead_days,FAR,FAR_lo,FAR_hi,n_points
8_26,2.5,3,0.4454443194600675,0.4053625712229431,0.48763864874351603,4
8_27,2.5,3,0.4767321613236815,0.43580833772759703,0.5163063436502088,4
8_28,2.5,3,0.49137931034482757,0.454273128832638,0.534421851574213,4
8_29,2.5,3,0.526148969889065,0.4759576612903226,0.5719187906627582,2
8_30,2.5,3,0.3951965065502183,0.3618177777777778,0.4299022090968338,3
8_31,2.5,3,0.45901639344262296,0.4193740368154072,0.49805103651796434,3
9_23,2.5,3,0.5432098765432098,0.44185291452733316,0.6392673048600882,2
9_24,2.5,3,0.5867052023121387,0.5273222421245279,0.6488307823129251,4
9_25,2.5,3,0.5339943342776204,0.4909607443974118,0.5851599758624941,4
9_26,2.5,3,0.4760935910478128,0.4393656385833207,0.5129370526143673,4
9_27,2.5,3,0.529296875,0.4661065906092794,0.5906228542517437,2
9_28,2.5,3,0.5811965811965812,0.5162542420280106,0.6402440850554058,1
9_30,2.5,3,0.3907563025210084,0.3378597415233623,0.4471244627309797,1
9_31,2.5,3,0.42637862421830586,0.3918376953492751,0.45956521223196595,3
9_32,2.5,3,0.536036036036036,0.49165118554789783,0.5801222987231027,2
10_24,2.5,4,0.6592592592592592,0.5648762620044324,0.762417955278674,1
10_25,2.5,4,0.5059288537549407,0.4650918556995806,0.5505277447480829,4
10_26,2.5,4,0.5170670037926675,0.4593570972450283,0.5776996564786365,3
11_24,2.5,4,0.4896265560165975,0.4327985229873102,0.5473487148350535,2
11_25,2.5,4,0.6587615283267457,0.6135492695533021,0.7031964351895744,4
11_26,2.5,4,0.7528089887640449,0.6901070750880998,0.8119471654665741,3
12_24,2.5,4,0.7394636015325671,0.6639674603174603,0.8195296082763079,2
12_25,2.5,4,0.6094674556213018,0.5262892078681553,0.7078443161776494,1
3_25,2.5,4,0.5251196172248804,0.46665297741273104,0.587150974025974,2
3_26,2.5,4,0.5679287305122495,0.5164457886357111,0.6202705262161052,2
4_25,2.5,4,0.4538279400157853,0.40662426040638594,0.5016561847193208,4
4_26,2.5,4,0.6077294685990338,0.5722061128526645,0.6475647854789645,4
5_24,2.5,4,0.284,0.2290146589609295,0.3373985507246377,2
5_25,2.5,4,0.5923694779116466,0.5513239774591526,0.634695403414456,4
5_26,2.5,4,0.6,0.5647498459009657,0.6358007262309572,4
5_27,2.5,4,0.5951557093425606,0.5309402405412178,0.6630852374551972,1
6_24,2.5,4,0.3541033434650456,0.3061515151515152,0.4069890138930837,3
6_25,2.5,4,0.48497854077253216,0.44116989894269526,0.5302995986238531,4
6_26,2.5,4,0.4421768707482993,0.40171159575792614,0.4878324716617918,4
6_27,2.5,4,0.5084889643463497,0.46712464361553624,0.5515782096151257,4
6_28,2.5,4,0.5163398692810458,0.4697148507202258,0.5619557591623037,2
7_23,2.5,4,0.44966442953020136,0.38765624177541674,0.520089734536576,4
7_24,2.5,4,0.39564660691421255,0.3535591620416704,0.4393524904214559,4
7_25,2.5,4,0.391156462585034,0.3472593252971334,0.43731581793757957,4
7_26,2.5,4,0.35435435435435436,0.3131711521500922,0.3952503796679037,4
7_27,2.5,4,0.3856332703213611,0.35064316003781565,0.4248094674758138,4
7_28,2.5,4,0.371900826446281,0.33538697900131526,0.407697628458498,4
7_29,2.5,4,0.3888888888888889,0.3290986363358405,0.46267849431945085,1
8_23,2.5,4,0.48314606741573035,0.4147112135176651,0.5618704560475876,3
8_24,2.5,4,0.4164989939637827,0.36467336166712366,0.47330303070548235,4
8_25,2.5,4,0.4131326949384405,0.3771713725109695,0.4510195127230294,4
8_26,2.5,4,0.4574944071588367,0.4137486515009381,0.5005837421944692,4
8_27,2.5,4,0.49385245901639346,0.45870077267582066,0.5349605097194584,4
8_28,2.5,4,0.4946550048590865,0.45541677247333673,0.5351216383378384,4
8_29,2.5,4,0.5448818897637795,0.49540582613466716,0.5951240260830832,2
8_30,2.5,4,0.4048815506101938,0.37048883253093445,0.4393665282602622,3
8_31,2.5,4,0.4621026894865526,0.4183678907704965,0.5009738597614881,3
9_23,2.5,4,0.4935064935064935,0.3734849847149793,0.6153846153846154,2
9_24,2.5,4,0.6236842105263158,0.5646589182027201,0.6857268537913699,4
9_25,2.5,4,0.5348148148148149,0.4873181489436311,0.5809818207108173,4
9_26,2.5,4,0.48335015136226034,0.44362709688164503,0.5223584171639323,4
9_27,2.5,4,0.5518590998043053,0.4908576872329113,0.6136414366883117,2
9_28,2.5,4,0.5897435897435898,0.5294006519484368,0.6508922887975257,1
9_30,2.5,4,0.39400428265524623,0.3451712403481296,0.4488854602466959,1
9_31,2.5,4,0.4289805269186712,0.3964439859450248,0.46381166613755104,3
9_32,2.5,4,0.5463917525773195,0.500531624863686,0.5861753248434022,2
10_24,2.5,5,0.6515151515151515,0.5494488536155203,0.7404650834040147,1
10_25,2.5,5,0.509,0.4681969841087623,0.5497928390120738,4
10_26,2.5,5,0.5350553505535055,0.4764056746260069,0.5920928842530928,3
11_24,2.5,5,0.5233463035019456,0.4758687106918239,0.5768839023621427,2
11_25,2.5,5,0.6821705426356589,0.6375509683995922,0.7208429467169729,4
11_26,2.5,5,0.7692307692307693,0.7138205377420224,0.8309977844595664,3
12_24,2.5,5,0.7360594795539034,0.6604314125250038,0.8112042938611204,2
12_25,2.5,5,0.6201117318435754,0.5297531512605043,0.7122657663478935,1
3_25,2.5,5,0.5296912114014252,0.4727174456832476,0.5967706898634771,2
3_26,2.5,5,0.5929978118161926,0.5367387122899373,0.644808949220714,2
4_25,2.5,5,0.4620015048908954,0.41817478282148535,0.5076852594056587,4
4_26,2.5,5,0.6207865168539326,0.5821147393739086,0.6566599728795683,4
5_24,2.5,5,0.2977893368010403,0.2406525248366792,0.3639512771633761,2
5_25,2.5,5,0.6035015447991761,0.5662161572714929,0.6426490411770556,4
5_26,2.5,5,0.599802371541502,0.5640927624872579,0.6357538388015044,4
5_27,2.5,5,0.6225806451612903,0.566083386059264,0.6887185982813547,1
6_24,2.5,5,0.4008810572687225,0.34603635170422997,0.45456028473973004,3
6_25,2.5,5,0.49223946784922396,0.44835066305003013,0.5336434278391713,4
6_26,2.5,5,0.45622568093385213,0.41264989379980943,0.5020860550206848,4
6_27,2.5,5,0.5232459847844463,0.478892340094156,0.5661405055849501,4
6_28,2.5,5,0.5184,0.47741407039794137,0.5631826380538341,2
7_23,2.5,5,0.4786516853932584,0.4120064317382345,0.5426487148102814,4
7_24,2.5,5,0.41875,0.37708467298156234,0.4630894685875592,4
7_25,2.5,5,0.4135593220338983,0.37017152562065775,0.4562925976546277,4
7_26,2.5,5,0.38712871287128714,0.3492849257326375,0.4276031566472743,4
7_27,2.5,5,0.4109090909090909,0.377817839069039,0.44921965584177503,4
7_28,2.5,5,0.38762214983713356,0.35293470950385436,0.4235406380660084,4
7_29,2.5,5,0.41002949852507375,0.34795897505792556,0.47809197990646113,1
8_23,2.5,5,0.5347593582887701,0.4572971898197243,0.6202825497287522,3
8_24,2.5,5,0.446360153256705,0.3932003760031427,0.5011451891796841,4
8_25,2.5,5,0.43513513513513513,0.39998233215547707,0.4708364403453689,4
8_26,2.5,5,0.4740331491712707,0.4336703423304806,0.5160423103192089,4
