point_id,lat,lon,threshold_mm,lead_days,POD,FAR,CSI,BIAS,HSS,FAR_lo,FAR_hi,NPV,NPV_lo,NPV_hi,wet_days,n
p0131,35.0,74.0,1.0,4,0.7868020304568528,0.6256038647342995,0.3399122807017544,2.1015228426395938,0.3078053989619291,0.5609107140607877,0.683436921449352,0.91796875,0.8781429677134012,0.948000716845878,197,926
p0132,35.0,75.5,1.0,4,0.7486631016042781,0.5783132530120482,0.36939313984168864,1.7754010695187166,0.37907447829282936,0.5169432509913394,0.6379990275041768,0.9208754208754208,0.882640141692036,0.9522376696413719,187,926
p0133,35.0,77.0,1.0,4,0.7413793103448276,0.8594771241830066,0.13395638629283488,5.275862068965517,0.14636831494057725,0.7952700258757408,0.9144547624592455,0.9758064516129032,0.9636903391335812,0.9873020904082711,58,926
p0134,35.0,78.5,1.0,4,0.6086956521739131,0.7454545454545455,0.21875,2.391304347826087,0.28370308487267554,0.6641975046681378,0.8250043706293706,0.9645203679369251,0.9472953736303251,0.9804960432430248,69,926
p0135,35.0,80.0,1.0,4,0.44954128440366975,0.7307692307692307,0.2024793388429752,1.6697247706422018,0.2222551024848775,0.6363399621212121,0.8136442917547568,0.9193548387096774,0.8899674648815408,0.9432742277584222,109,926
p0136,36.5,72.5,1.0,4,0.17857142857142858,0.9479166666666666,0.04201680672268908,3.4285714285714284,-0.01433622876470136,0.8967344452773613,0.9840528883254327,0.9373297002724795,0.9009304331419639,0.9678410662643028,56,926
p0137,36.5,74.0,1.0,4,0.5396825396825397,0.5836734693877551,0.3072289156626506,1.2962962962962963,0.31135497972671483,0.48645118999596615,0.6801940735971808,0.8722466960352423,0.8300550155877499,0.907491777017667,189,926
p0138,36.5,75.5,1.0,4,0.5365853658536586,0.5769230769230769,0.30985915492957744,1.2682926829268293,0.299762338343776,0.5111478239642907,0.6498204738856728,0.8573573573573574,0.816387706307724,0.8970446420591652,205,926
p0000,9.5,77.0,1.0,5,0.9617977528089887,0.3868194842406877,0.5986013986013986,1.5685393258426967,0.3921243921518397,0.3296993074280855,0.4475820449297304,0.9254385964912281,0.8760227786686402,0.9632386608489549,445,926
p0001,9.5,78.5,1.0,5,0.8229166666666666,0.6059850374064838,0.3632183908045977,2.0885416666666665,0.35084806673179225,0.5460776645668626,0.6716805311150216,0.9352380952380952,0.9042340009208103,0.9597267950963223,192,926
p0002,11.0,77.0,1.0,5,0.7477477477477478,0.7668539325842697,0.21614583333333334,3.2072072072072073,0.21132395800911122,0.6916524869109948,0.8378514878514878,0.9508771929824561,0.926629885024719,0.9715730928358859,111,926
p0003,11.0,78.5,1.0,5,0.7870967741935484,0.5850340136054422,0.3730886850152905,1.896774193548387,0.41524917291472857,0.5129865608911713,0.6612919290579616,0.9477848101265823,0.923567870237526,0.9679881097560976,155,926
p0004,12.5,75.5,1.0,5,0.9553191489361702,0.2578512396694215,0.7172523961661342,1.2872340425531914,0.6159297012302285,0.19997685185185185,0.32580168625513545,0.9345794392523364,0.8933778912050258,0.9629658119658119,470,926
p0005,12.5,77.0,1.0,5,0.7192982456140351,0.583756345177665,0.35807860262008734,1.7280701754385965,0.3130494463901814,0.5289672544080605,0.6473436308161709,0.8796992481203008,0.8419716110019646,0.9139861751152073,228,926
p0006,12.5,78.5,1.0,5,0.7961165048543689,0.5626666666666666,0.3932853717026379,1.8203883495145632,0.38911516377840244,0.5,0.6326129025204449,0.9237749546279492,0.8906729577006728,0.9532132924912337,206,926
p0007,12.5,80.0,1.0,5,0.8148148148148148,0.6597938144329897,0.3157894736842105,2.3950617283950617,0.3095821558547191,0.6055498385794995,0.7135220612178443,0.9442379182156134,0.9217173818332453,0.9631810267635061,162,926
p0008,14.0,75.5,1.0,5,0.9061488673139159,0.36363636363636365,0.5970149253731343,1.4239482200647249,0.5849345672043903,0.298353723209714,0.42755381708427387,0.9403292181069959,0.9118910339466183,0.9646845615569648,309,926
p0009,14.0,77.0,1.0,5,0.8303030303030303,0.6441558441558441,0.33171912832929784,2.3333333333333335,0.33139045127534333,0.5672916666666666,0.7131656235861861,0.9482439926062847,0.913344598497978,0.9737835377627393,165,926
p0010,14.0,78.5,1.0,5,0.791907514450867,0.6051873198847262,0.3577023498694517,2.005780346820809,0.36978570124329796,0.5382045502478119,0.6794367798665858,0.9378238341968912,0.9072896843537704,0.9607217355027117,173,926
p0011,14.0,80.0,1.0,5,0.7567567567567568,0.5359116022099447,0.40384615384615385,1.6306306306306306,0.3957522049382196,0.4562552148518982,0.6119023277760302,0.9042553191489362,0.8657247225374444,0.9366599431158579,222,926
p0012,15.5,74.0,1.0,5,0.9704301075268817,0.23516949152542374,0.7474120082815735,1.2688172043010753,0.7375039500343885,0.16663943355119826,0.3264418187981211,0.9757709251101322,0.9550819215839678,0.9917025281259357,372,926
p0013,15.5,75.5,1.0,5,0.7790262172284644,0.4876847290640394,0.44731182795698926,1.5205992509363295,0.414405724493964,0.4182877972932235,0.5547280719689225,0.8865384615384615,0.8343426501035196,0.929608990383041,267,926
p0014,15.5,77.0,1.0,5,0.7452229299363057,0.6366459627329193,0.32320441988950277,2.050955414012739,0.33750138708000677,0.5756296125461254,0.7029728314128341,0.9337748344370861,0.8988754728231502,0.9605982639129799,157,926
p0015,15.5,78.5,1.0,5,0.8270042194092827,0.46883468834688347,0.47804878048780486,1.5569620253164558,0.48695404530744335,0.4134560502283105,0.530192799453123,0.926391382405745,0.895699976544842,0.9531031324848541,237,926
p0016,15.5,80.0,1.0,5,0.7305699481865285,0.555205047318612,0.3821138211382114,1.6424870466321244,0.39660129523461124,0.48052696078431373,0.6258386848618637,0.9146141215106732,0.879154069499493,0.9467524197656647,193,926
