threshold_mm,lead_days,alpha,V,V_lo,V_hi,base_rate
1.0,6,0.4,0.3388109508441459,,,0.2359183927156331
1.0,6,0.42,0.29800798079521806,,,0.2359183927156331
1.0,6,0.44,0.25429051288565224,,,0.2359183927156331
1.0,6,0.46,0.20733471401982234,,,0.2359183927156331
1.0,6,0.48,0.1567669306258519,,,0.2359183927156331
1.0,6,0.5,0.10215372456036358,,,0.2359183927156331
1.0,6,0.52,0.04298941798941789,,,0.2359183927156331
1.0,6,0.54,-0.021319610892044556,,,0.2359183927156331
1.0,6,0.56,-0.09147491512636723,,,0.2359183927156331
1.0,6,0.58,-0.16831167690681584,,,0.2359183927156331
1.0,6,0.6,-0.25283211486530965,,,0.2359183927156331
1.0,6,0.62,-0.34624944102996064,,,0.2359183927156331
1.0,6,0.64,-0.4500464701017952,,,0.2359183927156331
1.0,6,0.66,-0.5660549143585514,,,0.2359183927156331
1.0,6,0.68,-0.6965644141474022,,,0.2359183927156331
1.0,6,0.7,-0.8444751805747646,,,0.2359183927156331
1.0,6,0.72,-1.0135160564917527,,,0.2359183927156331
1.0,6,0.74,-1.208563221011354,,,0.2359183927156331
1.0,6,0.76,-1.4361182462842212,,,0.2359183927156331
1.0,6,0.78,-1.7050469125157919,,,0.2359183927156331
1.0,6,0.8,-2.0277613119936775,,,0.2359183927156331
1.0,6,0.82,-2.422190022466645,,,0.2359183927156331
1.0,6,0.84,-2.9152259105578593,,,0.2359183927156331
1.0,6,0.86,-3.549129195246563,,,0.2359183927156331
1.0,6,0.88,-4.3943335748314984,,,0.2359183927156331
1.0,6,0.9,-5.577619706250414,,,0.2359183927156331
1.0,6,0.92,-7.352548903378778,,,0.2359183927156331
1.0,6,0.94,-10.310764231926044,,,0.2359183927156331
1.0,6,0.96,-16.22719488902061,,,0.2359183927156331
1.0,6,0.98,-33.97648686030418,,,0.2359183927156331
1.0,7,0.1,0.2478037174116403,0.16703017637023046,0.3133810663859296,0.2359183927156331
1.0,7,0.3,0.4919552883394021,0.3912727077018301,0.5619449479698985,0.2359183927156331
1.0,7,0.02,-2.069274413307846,,,0.2359183927156331
1.0,7,0.04,-0.621100581608167,,,0.2359183927156331
1.0,7,0.06,-0.13837597104160734,,,0.2359183927156331
1.0,7,0.08,0.10298633424167246,,,0.2359183927156331
1.0,7,0.12,0.34434863952495226,,,0.2359183927156331
1.0,7,0.14,0.4133092981773178,,,0.2359183927156331
1.0,7,0.16,0.4650297921665921,,,0.2359183927156331
1.0,7,0.18,0.5052568430471388,,,0.2359183927156331
1.0,7,0.2,0.5374384837515761,,,0.2359183927156331
1.0,7,0.22,0.5637689170552066,,,0.2359183927156331
1.0,7,0.24,0.5762799113967492,,,0.2359183927156331
1.0,7,0.26,0.5496910662885768,,,0.2359183927156331
1.0,7,0.28,0.5216250631188389,,,0.2359183927156331
1.0,7,0.32,0.4605402326905866,,,0.2359183927156331
1.0,7,0.34,0.42722123427517605,,,0.2359183927156331
1.0,7,0.36,0.3918197984588027,,,0.2359183927156331
1.0,7,0.38,0.3541343990413727,,,0.2359183927156331
1.0,7,0.4,0.3139366396627806,,,0.2359183927156331
1.0,7,0.42,0.2709666210166997,,,0.2359183927156331
1.0,7,0.44,0.22492731532447008,,,0.2359183927156331
1.0,7,0.46,0.17547769069207508,,,0.2359183927156331
1.0,7,0.48,0.12222424878026536,,,0.2359183927156331
1.0,7,0.5,0.06471053151551084,,,0.2359183927156331
1.0,7,0.52,0.0024040044786934425,,,0.2359183927156331
